series_id,series_name,price_range,price_unit,online_date,cover_url
2989,帕萨特PHEV,21.71-24.21,万,2025-04-17,http://p3-dcd.byteimg.com/img/motor-mis-img/1304ba480eb5fec1b5059baef1a8762d~tplv-resize:640:0.png?psm=motor.car_page.go_api
3171,捷达VS5,8.79-12.19,万,2025-04-17,http://p9-dcd.byteimg.com/img/tos-cn-i-dcdx/c375f1508b1e4ec6902a072796b540a2~tplv-resize:640:0.png?psm=motor.car_page.go_api
3159,红旗HS5,18.38-24.98,万,2025-04-17,http://p9-dcd.byteimg.com/img/tos-cn-i-dcdx/ab8b7403cc8b4fb9a988e66dc53d5163~tplv-resize:640:0.png?psm=motor.car_page.go_api
6060,凯翼拾月,5.39-9.98,万,2025-04-16,http://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/d654726800a34ad197462e1a65864112~tplv-resize:640:0.png?psm=motor.car_page.go_api
9947,享界S9,30.98-44.98,万,2025-04-16,http://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/a4aa6010a2c24aa995aa79d02ddf3a8f~tplv-resize:640:0.png?psm=motor.car_page.go_api
25396,焜驰V级,89.90-89.90,万,2025-04-16,http://p9-dcd.byteimg.com/img/tos-cn-i-dcdx/6b28ec54f2444a10a97e6a67907af6b3~tplv-resize:640:0.png?psm=motor.car_page.go_api
25397,焜驰威霆,65.80-65.80,万,2025-04-16,http://p9-dcd.byteimg.com/img/tos-cn-i-dcdx/a30b88ccdff9487794a2ae073a87af9d~tplv-resize:640:0.png?psm=motor.car_page.go_api
5122,创维EV6,10.98-32.98,万,2025-04-16,http://p9-dcd.byteimg.com/img/tos-cn-i-dcdx/ad946cfb7300451192fd711f0af4ded0~tplv-resize:640:0.png?psm=motor.car_page.go_api
5871,创维HT-i,8.98-31.68,万,2025-04-16,http://p9-dcd.byteimg.com/img/tos-cn-i-dcdx/1f797a0102ab4d71ad0d47e960463d35~tplv-resize:640:0.png?psm=motor.car_page.go_api
8795,哈弗枭龙MAX,13.18-16.98,万,2025-04-16,http://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/f8ab4d2210c1481f965043dd1d113a35~tplv-resize:640:0.png?psm=motor.car_page.go_api
9249,钛3,13.38-19.38,万,2025-04-16,http://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/3297d303d8874797b6d7fee4090f7ca6~tplv-resize:640:0.png?psm=motor.car_page.go_api
24850,问界M8,35.98-44.98,万,2025-04-16,http://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/5dd7baa13f2349d6adbab30c5f58e168~tplv-resize:640:0.png?psm=motor.car_page.go_api
6305,凯翼昆仑iHD,10.99-21.98,万,2025-04-15,http://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/b23daeb884224c29bfd6c1c82ba6db1e~tplv-resize:640:0.png?psm=motor.car_page.go_api
429,锐骐,7.78-11.58,万,2025-04-15,http://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/bc9585e4dd384cc3a0b3209e0932c083~tplv-resize:640:0.png?psm=motor.car_page.go_api
1277,沃尔沃XC90,63.89-78.19,万,2025-04-15,http://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/66ae9abdb81d46149c4b1879d47d0c2c~tplv-resize:640:0.png?psm=motor.car_page.go_api
6294,小鹏X9,35.98-41.98,万,2025-04-15,http://p9-dcd.byteimg.com/img/tos-cn-i-dcdx/dea281f2400b459897787fc584c29832~tplv-resize:640:0.png?psm=motor.car_page.go_api
